Age,Club,Club Logo,Flag,ID,Name,Nationality,Overall,Photo,Potential,Special,EUR_value,EUR_wage
32,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/38.png,20801,Cristiano Ronaldo,Portugal,94,https://cdn.sofifa.org/48/18/players/20801.png,94,2228,95500000.0,565000.0
30,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/52.png,158023,L. Messi,Argentina,93,https://cdn.sofifa.org/48/18/players/158023.png,93,2154,105000000.0,565000.0
25,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,https://cdn.sofifa.org/flags/54.png,190871,Neymar,Brazil,92,https://cdn.sofifa.org/48/18/players/190871.png,94,2100,123000000.0,280000.0
30,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/60.png,176580,L. Suárez,Uruguay,92,https://cdn.sofifa.org/48/18/players/176580.png,92,2291,97000000.0,510000.0
31,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/21.png,167495,M. Neuer,Germany,92,https://cdn.sofifa.org/48/18/players/167495.png,92,1493,61000000.0,230000.0
28,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/37.png,188545,R. Lewandowski,Poland,91,https://cdn.sofifa.org/48/18/players/188545.png,91,2143,92000000.0,355000.0
26,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/45.png,193080,De Gea,Spain,90,https://cdn.sofifa.org/48/18/players/193080.png,92,1458,64500000.0,215000.0
26,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/7.png,183277,E. Hazard,Belgium,90,https://cdn.sofifa.org/48/18/players/183277.png,91,2096,90500000.0,295000.0
27,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/21.png,182521,T. Kroos,Germany,90,https://cdn.sofifa.org/48/18/players/182521.png,90,2165,79000000.0,340000.0
29,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/52.png,167664,G. Higuaín,Argentina,90,https://cdn.sofifa.org/48/18/players/167664.png,90,1961,77000000.0,275000.0
31,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/45.png,155862,Sergio Ramos,Spain,90,https://cdn.sofifa.org/48/18/players/155862.png,90,2153,52000000.0,310000.0
26,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,https://cdn.sofifa.org/flags/7.png,192985,K. De Bruyne,Belgium,89,https://cdn.sofifa.org/48/18/players/192985.png,92,2162,83000000.0,285000.0
25,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/7.png,192119,T. Courtois,Belgium,89,https://cdn.sofifa.org/48/18/players/192119.png,92,1282,59000000.0,190000.0
28,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,https://cdn.sofifa.org/flags/55.png,184941,A. Sánchez,Chile,89,https://cdn.sofifa.org/48/18/players/184941.png,89,2181,67500000.0,265000.0
31,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/10.png,177003,L. Modri?,Croatia,89,https://cdn.sofifa.org/48/18/players/177003.png,89,2228,57000000.0,340000.0
27,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/50.png,173731,G. Bale,Wales,89,https://cdn.sofifa.org/48/18/players/173731.png,89,2263,69500000.0,370000.0
29,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,https://cdn.sofifa.org/flags/52.png,153079,S. Agüero,Argentina,89,https://cdn.sofifa.org/48/18/players/153079.png,89,2074,66500000.0,325000.0
32,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/27.png,138956,G. Chiellini,Italy,89,https://cdn.sofifa.org/48/18/players/138956.png,89,1867,38000000.0,225000.0
39,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/27.png,1179,G. Buffon,Italy,89,https://cdn.sofifa.org/48/18/players/1179.png,89,1335,4500000.0,110000.0
23,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/52.png,211110,P. Dybala,Argentina,88,https://cdn.sofifa.org/48/18/players/211110.png,93,2063,79000000.0,215000.0
