club,league
Brøndby IF,Danish Superliga
Silkeborg IF,Danish Superliga
Aarhus GF,Danish Superliga
Odense Boldklub,Danish Superliga
FC København,Danish Superliga
Aalborg BK,Danish Superliga
AC Horsens,Danish Superliga
SønderjyskE,Danish Superliga
FC Midtjylland,Danish Superliga
Randers FC,Danish Superliga
FC Nordsjælland,Danish Superliga
Lyngby BK,Danish Superliga
Hobro IK,Danish Superliga
FC Helsingør,Danish Superliga
RSC Anderlecht,Belgian First Division A
Royal Antwerp FC,Belgian First Division A
Club Brugge KV,Belgian First Division A
Standard de Liège,Belgian First Division A
Sporting Charleroi,Belgian First Division A
KRC Genk,Belgian First Division A
KAA Gent,Belgian First Division A
Sint-Truidense VV,Belgian First Division A
KV Oostende,Belgian First Division A
Sporting Lokeren,Belgian First Division A
KAS Eupen,Belgian First Division A
SV Zulte-Waregem,Belgian First Division A
KV Kortrijk,Belgian First Division A
KV Mechelen,Belgian First Division A
Waasland-Beveren,Belgian First Division A
Royal Excel Mouscron,Belgian First Division A
Sociedade Esportiva Palmeiras,Campeonato Brasileiro Série A
Botafogo de Futebol e Regatas,Campeonato Brasileiro Série A
Fluminense Football Club,Campeonato Brasileiro Série A
Cruzeiro,Campeonato Brasileiro Série A
São Paulo Futebol Clube,Campeonato Brasileiro Série A
Clube Atlético Mineiro,Campeonato Brasileiro Série A
Clube Atlético Paranaense,Campeonato Brasileiro Série A
Santos Futebol Clube,Campeonato Brasileiro Série A
Grêmio Foot-Ball Porto Alegrense,Campeonato Brasileiro Série A
Vitória ,Campeonato Brasileiro Série A
Associação Atlética Ponte Preta,Campeonato Brasileiro Série A
Coritiba Foot Ball Club,Campeonato Brasileiro Série A
Sport Club do Recife,Campeonato Brasileiro Série A
Avaí Futebol Clube,Campeonato Brasileiro Série A
Atlético Clube Goianiense,Campeonato Brasileiro Série A
Associação Chapecoense de Futebol,Campeonato Brasileiro Série A
Ajax,Holland Eredivisie
Feyenoord,Holland Eredivisie
