index,ID,Name,Club,Club logo,Flag,Photo,EUR_value,EUR_wage,Overall,Potential,Special,Age
0,20801,Cristiano Ronaldo,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/38.png,https://cdn.sofifa.org/48/18/players/20801.png,95500000.0,565000.0,94,94,2228,32
1,158023,L. Messi,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/52.png,https://cdn.sofifa.org/48/18/players/158023.png,105000000.0,565000.0,93,93,2158,30
2,190871,Neymar,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,https://cdn.sofifa.org/flags/54.png,https://cdn.sofifa.org/48/18/players/190871.png,123000000.0,280000.0,92,94,2100,25
3,176580,L. Suárez,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,https://cdn.sofifa.org/flags/60.png,https://cdn.sofifa.org/48/18/players/176580.png,97000000.0,510000.0,92,92,2291,30
4,167495,M. Neuer,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/21.png,https://cdn.sofifa.org/48/18/players/167495.png,61000000.0,230000.0,92,92,1493,31
5,188545,R. Lewandowski,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,https://cdn.sofifa.org/flags/37.png,https://cdn.sofifa.org/48/18/players/188545.png,92000000.0,355000.0,91,91,2146,28
6,193080,De Gea,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,https://cdn.sofifa.org/flags/45.png,https://cdn.sofifa.org/48/18/players/193080.png,64500000.0,215000.0,90,92,1458,26
7,183277,E. Hazard,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/7.png,https://cdn.sofifa.org/48/18/players/183277.png,90500000.0,295000.0,90,91,2096,26
8,182521,T. Kroos,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/21.png,https://cdn.sofifa.org/48/18/players/182521.png,79000000.0,340000.0,90,90,2165,27
9,167664,G. Higuaín,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/52.png,https://cdn.sofifa.org/48/18/players/167664.png,77000000.0,275000.0,90,90,1961,29
10,155862,Sergio Ramos,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/45.png,https://cdn.sofifa.org/48/18/players/155862.png,52000000.0,310000.0,90,90,2153,31
11,192985,K. De Bruyne,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,https://cdn.sofifa.org/flags/7.png,https://cdn.sofifa.org/48/18/players/192985.png,83000000.0,285000.0,89,92,2162,26
12,192119,T. Courtois,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,https://cdn.sofifa.org/flags/7.png,https://cdn.sofifa.org/48/18/players/192119.png,59000000.0,190000.0,89,92,1282,25
13,184941,A. Sánchez,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,https://cdn.sofifa.org/flags/55.png,https://cdn.sofifa.org/48/18/players/184941.png,67500000.0,265000.0,89,89,2181,28
14,177003,L. Modri?,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/10.png,https://cdn.sofifa.org/48/18/players/177003.png,57000000.0,340000.0,89,89,2228,31
15,173731,G. Bale,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,https://cdn.sofifa.org/flags/50.png,https://cdn.sofifa.org/48/18/players/173731.png,69500000.0,370000.0,89,89,2259,27
16,153079,S. Agüero,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,https://cdn.sofifa.org/flags/52.png,https://cdn.sofifa.org/48/18/players/153079.png,66500000.0,325000.0,89,89,2074,29
17,138956,G. Chiellini,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/27.png,https://cdn.sofifa.org/48/18/players/138956.png,38000000.0,225000.0,89,89,1867,32
18,1179,G. Buffon,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/27.png,https://cdn.sofifa.org/48/18/players/1179.png,4500000.0,110000.0,89,89,1335,39
19,211110,P. Dybala,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,https://cdn.sofifa.org/flags/52.png,https://cdn.sofifa.org/48/18/players/211110.png,79000000.0,215000.0,88,93,2063,23
20,200389,J. Oblak,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,https://cdn.sofifa.org/flags/44.png,https://cdn.sofifa.org/48/18/players/200389.png,57000000.0,82000.0,88,93,1290,24
21,194765,A. Griezmann,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,https://cdn.sofifa.org/flags/18.png,https://cdn.sofifa.org/48/18/players/194765.png,75000000.0,150000.0,88,91,2104,26
